10-digit PSGC,Name,Correspondence Code,Geographic Level,Population,Region_Code,Province_Code,CityMunicipality_Code,Barangay_Code,PSGC_Code,Char Length,Full_Province_Code,Full_CityMunicipality_Code,Geographic_Level
1300000000,National Capital Region (NCR),130000000,Reg,13484462,13,000,00,000,1300000000,10,13000,1300000,1
1380100000,City of Caloocan,137501000,City,1661584,13,010,00,000,1301000000,10,13010,1301000,3
1380100001,Barangay 1,137501001,Bgy,2319,13,010,00,001,1301000001,10,13010,1301000,5
1380100002,Barangay 2,137501002,Bgy,5156,13,010,00,002,1301000002,10,13010,1301000,5
1380100003,Barangay 3,137501003,Bgy,2497,13,010,00,003,1301000003,10,13010,1301000,5
1380100004,Barangay 4,137501004,Bgy,2875,13,010,00,004,1301000004,10,13010,1301000,5
1380100005,Barangay 5,137501005,Bgy,3083,13,010,00,005,1301000005,10,13010,1301000,5
1380100006,Barangay 6,137501006,Bgy,1190,13,010,00,006,1301000006,10,13010,1301000,5
1380100007,Barangay 7,137501007,Bgy,2608,13,010,00,007,1301000007,10,13010,1301000,5
1380100008,Barangay 8,137501008,Bgy,23399,13,010,00,008,1301000008,10,13010,1301000,5
1380100009,Barangay 9,137501009,Bgy,1866,13,010,00,009,1301000009,10,13010,1301000,5
1380100010,Barangay 10,137501010,Bgy,1485,13,010,00,010,1301000010,10,13010,1301000,5
1380100011,Barangay 11,137501011,Bgy,1230,13,010,00,011,1301000011,10,13010,1301000,5
1380100012,Barangay 12,137501012,Bgy,34309,13,010,00,012,1301000012,10,13010,1301000,5
1380100013,Barangay 13,137501013,Bgy,1074,13,010,00,013,1301000013,10,13010,1301000,5
1380100014,Barangay 14,137501014,Bgy,21906,13,010,00,014,1301000014,10,13010,1301000,5
1380100015,Barangay 15,137501015,Bgy,1424,13,010,00,015,1301000015,10,13010,1301000,5
1380100016,Barangay 16,137501016,Bgy,3550,13,010,00,016,1301000016,10,13010,1301000,5
1380100017,Barangay 17,137501017,Bgy,3419,13,010,00,017,1301000017,10,13010,1301000,5
1380100018,Barangay 18,137501018,Bgy,10932,13,010,00,018,1301000018,10,13010,1301000,5
1380100019,Barangay 19,137501019,Bgy,3655,13,010,00,019,1301000019,10,13010,1301000,5
1380100020,Barangay 20,137501020,Bgy,7892,13,010,00,020,1301000020,10,13010,1301000,5
1380100021,Barangay 21,137501021,Bgy,2787,13,010,00,021,1301000021,10,13010,1301000,5
1380100022,Barangay 22,137501022,Bgy,5653,13,010,00,022,1301000022,10,13010,1301000,5
