10-digit PSGC,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2020 CPH)",Population,Status,Region_Code,Province_Code,CityMunicipality_Code,Barangay_Code,PSGC_Code,Geographic_Level
1300000000,National Capital Region (NCR),Reg,,,,,13484462,,13,000,00,000,1300000000,1
1380100000,City of Caloocan,City,,HUC,1st,,1661584,,13,801,00,000,1301000000,3
1380100001,Barangay 1,Bgy,,,,U,2319,,13,801,00,001,1301000001,5
1380100002,Barangay 2,Bgy,,,,U,5156,,13,801,00,002,1301000002,5
1380100003,Barangay 3,Bgy,,,,U,2497,,13,801,00,003,1301000003,5
1380100004,Barangay 4,Bgy,,,,U,2875,,13,801,00,004,1301000004,5
1380100005,Barangay 5,Bgy,,,,U,3083,,13,801,00,005,1301000005,5
1380100006,Barangay 6,Bgy,,,,U,1190,,13,801,00,006,1301000006,5
1380100007,Barangay 7,Bgy,,,,U,2608,,13,801,00,007,1301000007,5
1380100008,Barangay 8,Bgy,,,,U,23399,,13,801,00,008,1301000008,5
1380100009,Barangay 9,Bgy,,,,U,1866,,13,801,00,009,1301000009,5
1380100010,Barangay 10,Bgy,,,,U,1485,,13,801,00,010,1301000010,5
1380100011,Barangay 11,Bgy,,,,U,1230,,13,801,00,011,1301000011,5
1380100012,Barangay 12,Bgy,,,,U,34309,,13,801,00,012,1301000012,5
1380100013,Barangay 13,Bgy,,,,U,1074,,13,801,00,013,1301000013,5
1380100014,Barangay 14,Bgy,,,,U,21906,,13,801,00,014,1301000014,5
1380100015,Barangay 15,Bgy,,,,U,1424,,13,801,00,015,1301000015,5
1380100016,Barangay 16,Bgy,,,,U,3550,,13,801,00,016,1301000016,5
1380100017,Barangay 17,Bgy,,,,U,3419,,13,801,00,017,1301000017,5
1380100018,Barangay 18,Bgy,,,,U,10932,,13,801,00,018,1301000018,5
1380100019,Barangay 19,Bgy,,,,U,3655,,13,801,00,019,1301000019,5
1380100020,Barangay 20,Bgy,,,,U,7892,,13,801,00,020,1301000020,5
1380100021,Barangay 21,Bgy,,,,U,2787,,13,801,00,021,1301000021,5
1380100022,Barangay 22,Bgy,,,,U,5653,,13,801,00,022,1301000022,5
1380100023,Barangay 23,Bgy,,,,U,2736,,13,801,00,023,1301000023,5
1380100024,Barangay 24,Bgy,,,,U,2498,,13,801,00,024,1301000024,5
1380100025,Barangay 25,Bgy,,,,U,1611,,13,801,00,025,1301000025,5
1380100026,Barangay 26,Bgy,,,,U,3734,,13,801,00,026,1301000026,5
1380100027,Barangay 27,Bgy,,,,U,4121,,13,801,00,027,1301000027,5
1380100028,Barangay 28,Bgy,,,,U,33091,,13,801,00,028,1301000028,5
1380100029,Barangay 29,Bgy,,,,U,1603,,13,801,00,029,1301000029,5
1380100030,Barangay 30,Bgy,,,,U,3498,,13,801,00,030,1301000030,5
1380100031,Barangay 31,Bgy,,,,U,3666,,13,801,00,031,1301000031,5
1380100032,Barangay 32,Bgy,,,,U,2864,,13,801,00,032,1301000032,5
1380100033,Barangay 33,Bgy,,,,U,5464,,13,801,00,033,1301000033,5
1380100034,Barangay 34,Bgy,,,,U,6445,,13,801,00,034,1301000034,5
1380100035,Barangay 35,Bgy,,,,U,23173,,13,801,00,035,1301000035,5
1380100036,Barangay 36,Bgy,,,,U,4115,,13,801,00,036,1301000036,5
1380100037,Barangay 37,Bgy,,,,U,2845,,13,801,00,037,1301000037,5
1380100038,Barangay 38,Bgy,,,,U,3854,,13,801,00,038,1301000038,5
1380100039,Barangay 39,Bgy,,,,U,891,,13,801,00,039,1301000039,5
1380100040,Barangay 40,Bgy,,,,U,963,,13,801,00,040,1301000040,5
1380100041,Barangay 41,Bgy,,,,U,903,,13,801,00,041,1301000041,5
1380100042,Barangay 42,Bgy,,,,U,715,,13,801,00,042,1301000042,5
1380100043,Barangay 43,Bgy,,,,U,3521,,13,801,00,043,1301000043,5
1380100044,Barangay 44,Bgy,,,,U,529,,13,801,00,044,1301000044,5
1380100045,Barangay 45,Bgy,,,,U,311,,13,801,00,045,1301000045,5
1380100046,Barangay 46,Bgy,,,,U,1454,,13,801,00,046,1301000046,5
1380100047,Barangay 47,Bgy,,,,U,559,,13,801,00,047,1301000047,5
1380100048,Barangay 48,Bgy,,,,U,606,,13,801,00,048,1301000048,5
1380100049,Barangay 49,Bgy,,,,U,4095,,13,801,00,049,1301000049,5
1380100050,Barangay 50,Bgy,,,,U,1005,,13,801,00,050,1301000050,5
1380100051,Barangay 51,Bgy,,,,U,765,,13,801,00,051,1301000051,5
1380100052,Barangay 52,Bgy,,,,U,1279,,13,801,00,052,1301000052,5
1380100053,Barangay 53,Bgy,,,,U,876,,13,801,00,053,1301000053,5
1380100054,Barangay 54,Bgy,,,,U,572,,13,801,00,054,1301000054,5
1380100055,Barangay 55,Bgy,,,,U,1442,,13,801,00,055,1301000055,5
1380100056,Barangay 56,Bgy,,,,U,2464,,13,801,00,056,1301000056,5
1380100057,Barangay 57,Bgy,,,,U,756,,13,801,00,057,1301000057,5
1380100058,Barangay 58,Bgy,,,,U,493,,13,801,00,058,1301000058,5
1380100059,Barangay 59,Bgy,,,,U,3808,,13,801,00,059,1301000059,5
1380100060,Barangay 60,Bgy,,,,U,1792,,13,801,00,060,1301000060,5
1380100061,Barangay 61,Bgy,,,,U,996,,13,801,00,061,1301000061,5
1380100062,Barangay 62,Bgy,,,,U,244,,13,801,00,062,1301000062,5
1380100063,Barangay 63,Bgy,,,,U,2988,,13,801,00,063,1301000063,5
1380100064,Barangay 64,Bgy,,,,U,1550,,13,801,00,064,1301000064,5
1380100065,Barangay 65,Bgy,,,,U,1300,,13,801,00,065,1301000065,5
1380100066,Barangay 66,Bgy,,,,U,2206,,13,801,00,066,1301000066,5
1380100067,Barangay 67,Bgy,,,,U,2320,,13,801,00,067,1301000067,5
1380100068,Barangay 68,Bgy,,,,U,1106,,13,801,00,068,1301000068,5
1380100069,Barangay 69,Bgy,,,,U,3173,,13,801,00,069,1301000069,5
1380100070,Barangay 70,Bgy,,,,U,4411,,13,801,00,070,1301000070,5
1380100071,Barangay 71,Bgy,,,,U,777,,13,801,00,071,1301000071,5
1380100072,Barangay 72,Bgy,,,,U,46,,13,801,00,072,1301000072,5
1380100073,Barangay 73,Bgy,,,,U,17649,,13,801,00,073,1301000073,5
1380100074,Barangay 74,Bgy,,,,U,3864,,13,801,00,074,1301000074,5
1380100075,Barangay 75,Bgy,,,,U,2207,,13,801,00,075,1301000075,5
1380100076,Barangay 76,Bgy,,,,U,2,,13,801,00,076,1301000076,5
1380100077,Barangay 77,Bgy,,,,U,822,,13,801,00,077,1301000077,5
1380100078,Barangay 78,Bgy,,,,U,1818,,13,801,00,078,1301000078,5
